㐀	⿱⿰↔⺊⺊一
㙜	⿱⿳亠口⿵冂口土
㙝	⿰土⿱⿱力⿰力力⺝
㙞	⿰土⿱自木
㙟	⿰土⿰月
㙠	⿱⿰⿷匚矢殳土
㙡	⿰土⿰彳⿱从⿺人⺊
㙢	⿰土⿱⿱⿻一⿰丨丨一⿻丨⿵冂⿰入入
㙣	⿰土⿰弓⿱
㙤	⿰土⿸虍⿻⿱㇒⿻一亅丷
㙥	⿰土⿳亠⿱八厶𧘇
㙦	⿱⿰⿱𠆢⿱一⿻⿻一亅八⿻十⺀土
㙧	⿰土⿱⿱一⿰⿰匚丿⿰丨田
㙨	⿰土⿻人
㙩	⿰土⿱⿱⿻大丷日小
㙪	⿰土⿱⿱士冖豆
㙫	⿰土⿱隹木
㙬	⿱⿰⿻木从犬土
㙭	⿰土⿸厂⿰⿱䒑⿻凵丿欠
㙮	⿰土⿱𥫗合
㙯	⿱⿰⿱土⿱二厶
㙰	⿱⿰角⿱刀牛土
㙱	⿱⿰⿱口⿱一㇉虎土
㙲	⿰土⿱亠⿰乡隹
㙳	⿰土⿱⿵⿰丿戈⿱一口心
㙴	⿰土⿸⿱⺈厂⿱八言
㙵	⿰土⿱⿳亠口⿵冂口土
㙶	⿳亠口⿱⿱⿱⺌冖口土
㙷	⿰土⿱日⿱⿰幺幺灬
㙸	⿰土⿰亻⿳⿱⿻⿰丨丨丷一䒑⿻二人
㙹	⿰土⿳⿱艹罒冖夕
㙺	⿰土⿷匚⿱⿱⿻口丨一貝
㙻	⿰土⿸广⿱⿻日土⿱八土
㙼	⿰土⿱田⿰田田
㙽	⿰土⿻大⿰⿱一白⿱一白
㙾	⿰土⿱⿱⿴𦥑⿱㐅乂冖子
㙿	⿰土⿱⿱䒑土⿻⿱禾⿹𠄎丿
㚀	⿰土⿰⿸虍豆戈
㚁	⿰⿱⿱土⿰土土⿱一儿⿱⿱土⿰土土⿱一儿
㚂	⿰土⿱⿳吅⿱⿻⿱一一⿰丨丨一𧘇
㚃	⿳⿱士冖⿶凵㐅䒑
㚄	⿳⿱士冖田⿱乛⿺人⺊
㚅	⿱夂⿱一生
㚆	⿱⿱亠日夊
㚇	⿳⿶凵㐅八夊
㚈	⿰夕十
㚉	⿱⿹𠄎丿多
㚊	⿰多⿱丶⿳一⿰𠄌丿人
㚋	⿰多⿵⺆⿱土口
㚌	⿰多⿻日木
㚍	⿰多⿱⿱⿻口丨一貝
㚎	⿱大凵
㚏	⿱大廾
㚐	⿱大大
㚑	⿱大
㚒	⿻大⿰入入
㚓	⿱大木
㚔	⿱大⿱丷干
㚕	⿱大⿻弓⿰丿丨
㚖	⿱白大
㚗	⿱大且
㚘	⿰⿻二人⿻二人
㚙	⿱⿰力口大
㚚	⿱大⿱夕口
㚛	⿱大⿱匕日
㚜	⿱大⿹戈⿱口一
㚝	⿱大⿰亻⿱土土
㚞	⿱大林
㚟	⿱⿱⿱⺈口比大
㚠	⿱大⿱⿱䒑土灬
